MONTH,REGION,COUNTRYOFRESIDENCE,OVERNIGHTSTAYS
2022-01-01,Graubünden,United Arab Emirates,540
2022-01-01,Graubünden,Croatia,375
2022-01-01,Graubünden,Romania,1521
2022-01-01,Graubünden,Russia,5621
2022-01-01,Graubünden,Slovakia,480
2022-01-01,Graubünden,Slovenia,325
2022-01-01,Graubünden,Czechia,2158
2022-01-01,Graubünden,Ukraine,3120
2022-01-01,Graubünden,Serbia,123
2022-01-01,Eastern Switzerland,Switzerland,66839
2022-01-01,Eastern Switzerland,Germany,11535
2022-01-01,Eastern Switzerland,France,731
2022-01-01,Eastern Switzerland,Italy,1167
2022-01-01,Eastern Switzerland,Austria,1400
2022-01-01,Eastern Switzerland,United Kingdom,336
2022-01-01,Eastern Switzerland,Irland,52
2022-01-01,Eastern Switzerland,Netherlands,1024
2022-01-01,Eastern Switzerland,Belgium,210
2022-01-01,Eastern Switzerland,Luxembourg,57
2022-01-01,Eastern Switzerland,Denmark,149
2022-01-01,Eastern Switzerland,Sweden,59
2022-01-01,Eastern Switzerland,Norway,39
2022-01-01,Eastern Switzerland,Finland,40
2022-01-01,Eastern Switzerland,Spain,212
2022-01-01,Eastern Switzerland,Portugal,71
2022-01-01,Eastern Switzerland,Greece,27
2022-01-01,Eastern Switzerland,Turkey,94
2022-01-01,Eastern Switzerland,Other European countries,214
2022-01-01,Eastern Switzerland,Liechtenstein,229
2022-01-01,Eastern Switzerland,Iceland,12
2022-01-01,Eastern Switzerland,Poland,445
2022-01-01,Eastern Switzerland,Hungary,194
2022-01-01,Eastern Switzerland,Belarus,38
2022-01-01,Eastern Switzerland,Bulgaria,77
2022-01-01,Eastern Switzerland,Malta,22
2022-01-01,Eastern Switzerland,Cyprus,16
2022-01-01,Eastern Switzerland,Chile,4
2022-01-01,Eastern Switzerland,United States,525
2022-01-01,Eastern Switzerland,Canada,27
2022-01-01,Eastern Switzerland,Mexico,8
2022-01-01,Eastern Switzerland,Brazil,34
2022-01-01,Eastern Switzerland,Argentina,1
2022-01-01,Eastern Switzerland,Other South American countries,15
2022-01-01,Eastern Switzerland,Other Central American countries,122
2022-01-01,Eastern Switzerland,Egypt,10
2022-01-01,Eastern Switzerland,Other North African countries,9
2022-01-01,Eastern Switzerland,South Africa,41
2022-01-01,Eastern Switzerland,Other African countries,58
2022-01-01,Eastern Switzerland,Bahrain,14
2022-01-01,Eastern Switzerland,Israel,71
2022-01-01,Eastern Switzerland,India,133
2022-01-01,Eastern Switzerland,Japan,10
2022-01-01,Eastern Switzerland,Other South-East Asian countries,33
2022-01-01,Eastern Switzerland,Qatar,26
2022-01-01,Eastern Switzerland,Kuwait,15
2022-01-01,Eastern Switzerland,Australia,60
2022-01-01,Eastern Switzerland,China,70
2022-01-01,Eastern Switzerland,Hong Kong,31
2022-01-01,Eastern Switzerland,Indonesia,0
2022-01-01,Eastern Switzerland,South Korea,29
2022-01-01,Eastern Switzerland,Malaysia,4
2022-01-01,Eastern Switzerland,Philippines,0
2022-01-01,Eastern Switzerland,"New Zealand, Oceania",5
2022-01-01,Eastern Switzerland,Singapore,153
2022-01-01,Eastern Switzerland,Oman,0
2022-01-01,Eastern Switzerland,Taiwan (Chinese Taipei),3
2022-01-01,Eastern Switzerland,Thailand,27
2022-01-01,Eastern Switzerland,Other West Asian countries,60
2022-01-01,Eastern Switzerland,Estonia,2
2022-01-01,Eastern Switzerland,Latvia,12
2022-01-01,Eastern Switzerland,Lithuania,3
2022-01-01,Eastern Switzerland,Saudi Arabia,429
2022-01-01,Eastern Switzerland,United Arab Emirates,69
2022-01-01,Eastern Switzerland,Croatia,142
2022-01-01,Eastern Switzerland,Romania,286
2022-01-01,Eastern Switzerland,Russia,1346
2022-01-01,Eastern Switzerland,Slovakia,156
2022-01-01,Eastern Switzerland,Slovenia,49
2022-01-01,Eastern Switzerland,Czechia,230
2022-01-01,Eastern Switzerland,Ukraine,119
2022-01-01,Eastern Switzerland,Serbia,47
2022-01-01,Zurich Region,Switzerland,101013
2022-01-01,Zurich Region,Germany,26303
2022-01-01,Zurich Region,France,4928
2022-01-01,Zurich Region,Italy,5841
2022-01-01,Zurich Region,Austria,3330
2022-01-01,Zurich Region,United Kingdom,6674
2022-01-01,Zurich Region,Irland,745
2022-01-01,Zurich Region,Netherlands,3215
2022-01-01,Zurich Region,Belgium,1296
2022-01-01,Zurich Region,Luxembourg,350
2022-01-01,Zurich Region,Denmark,719
2022-01-01,Zurich Region,Sweden,934
2022-01-01,Zurich Region,Norway,413
2022-01-01,Zurich Region,Finland,377
2022-01-01,Zurich Region,Spain,2949
2022-01-01,Zurich Region,Portugal,1001
2022-01-01,Zurich Region,Greece,1280
2022-01-01,Zurich Region,Turkey,797
2022-01-01,Zurich Region,Other European countries,832
2022-01-01,Zurich Region,Liechtenstein,158
2022-01-01,Zurich Region,Iceland,184
2022-01-01,Zurich Region,Poland,1140
2022-01-01,Zurich Region,Hungary,665
2022-01-01,Zurich Region,Belarus,26
2022-01-01,Zurich Region,Bulgaria,263
2022-01-01,Zurich Region,Malta,282
2022-01-01,Zurich Region,Cyprus,273
2022-01-01,Zurich Region,Chile,217
2022-01-01,Zurich Region,United States,15473
2022-01-01,Zurich Region,Canada,1242
2022-01-01,Zurich Region,Mexico,819
2022-01-01,Zurich Region,Brazil,6816
2022-01-01,Zurich Region,Argentina,234
2022-01-01,Zurich Region,Other South American countries,878
2022-01-01,Zurich Region,Other Central American countries,807
2022-01-01,Zurich Region,Egypt,416
2022-01-01,Zurich Region,Other North African countries,221
2022-01-01,Zurich Region,South Africa,221
2022-01-01,Zurich Region,Other African countries,303
2022-01-01,Zurich Region,Bahrain,58
2022-01-01,Zurich Region,Israel,547
2022-01-01,Zurich Region,India,1555
2022-01-01,Zurich Region,Japan,305
2022-01-01,Zurich Region,Other South-East Asian countries,895
2022-01-01,Zurich Region,Qatar,1225
2022-01-01,Zurich Region,Kuwait,255
2022-01-01,Zurich Region,Australia,1232
2022-01-01,Zurich Region,China,1167
2022-01-01,Zurich Region,Hong Kong,287
2022-01-01,Zurich Region,Indonesia,860
2022-01-01,Zurich Region,South Korea,279
2022-01-01,Zurich Region,Malaysia,734
2022-01-01,Zurich Region,Philippines,203
2022-01-01,Zurich Region,"New Zealand, Oceania",201
2022-01-01,Zurich Region,Singapore,3184
2022-01-01,Zurich Region,Oman,341
2022-01-01,Zurich Region,Taiwan (Chinese Taipei),69
2022-01-01,Zurich Region,Thailand,1649
2022-01-01,Zurich Region,Other West Asian countries,835
2022-01-01,Zurich Region,Estonia,202
2022-01-01,Zurich Region,Latvia,235
2022-01-01,Zurich Region,Lithuania,341
2022-01-01,Zurich Region,Saudi Arabia,792
2022-01-01,Zurich Region,United Arab Emirates,2980
2022-01-01,Zurich Region,Croatia,719
2022-01-01,Zurich Region,Romania,1312
2022-01-01,Zurich Region,Russia,1878
2022-01-01,Zurich Region,Slovakia,377
2022-01-01,Zurich Region,Slovenia,316
2022-01-01,Zurich Region,Czechia,599
2022-01-01,Zurich Region,Ukraine,1285
2022-01-01,Zurich Region,Serbia,481
2022-01-01,Lucerne / Lake Lucerne,Switzerland,109738
2022-01-01,Lucerne / Lake Lucerne,Germany,14897
2022-01-01,Lucerne / Lake Lucerne,France,2220
2022-01-01,Lucerne / Lake Lucerne,Italy,1926
2022-01-01,Lucerne / Lake Lucerne,Austria,1239
2022-01-01,Lucerne / Lake Lucerne,United Kingdom,3020
2022-01-01,Lucerne / Lake Lucerne,Irland,231
2022-01-01,Lucerne / Lake Lucerne,Netherlands,3364
2022-01-01,Lucerne / Lake Lucerne,Belgium,1286
2022-01-01,Lucerne / Lake Lucerne,Luxembourg,439
2022-01-01,Lucerne / Lake Lucerne,Denmark,808
2022-01-01,Lucerne / Lake Lucerne,Sweden,1560
2022-01-01,Lucerne / Lake Lucerne,Norway,326
2022-01-01,Lucerne / Lake Lucerne,Finland,281
2022-01-01,Lucerne / Lake Lucerne,Spain,523
2022-01-01,Lucerne / Lake Lucerne,Portugal,303
2022-01-01,Lucerne / Lake Lucerne,Greece,266
2022-01-01,Lucerne / Lake Lucerne,Turkey,190
2022-01-01,Lucerne / Lake Lucerne,Other European countries,318
2022-01-01,Lucerne / Lake Lucerne,Liechtenstein,102
2022-01-01,Lucerne / Lake Lucerne,Iceland,139
2022-01-01,Lucerne / Lake Lucerne,Poland,455
2022-01-01,Lucerne / Lake Lucerne,Hungary,329
2022-01-01,Lucerne / Lake Lucerne,Belarus,4
2022-01-01,Lucerne / Lake Lucerne,Bulgaria,86
2022-01-01,Lucerne / Lake Lucerne,Malta,38
2022-01-01,Lucerne / Lake Lucerne,Cyprus,65
2022-01-01,Lucerne / Lake Lucerne,Chile,72
2022-01-01,Lucerne / Lake Lucerne,United States,3295
2022-01-01,Lucerne / Lake Lucerne,Canada,191
2022-01-01,Lucerne / Lake Lucerne,Mexico,176
2022-01-01,Lucerne / Lake Lucerne,Brazil,1440
2022-01-01,Lucerne / Lake Lucerne,Argentina,33
2022-01-01,Lucerne / Lake Lucerne,Other South American countries,177
2022-01-01,Lucerne / Lake Lucerne,Other Central American countries,158
2022-01-01,Lucerne / Lake Lucerne,Egypt,147
2022-01-01,Lucerne / Lake Lucerne,Other North African countries,26
2022-01-01,Lucerne / Lake Lucerne,South Africa,52
2022-01-01,Lucerne / Lake Lucerne,Other African countries,73
2022-01-01,Lucerne / Lake Lucerne,Bahrain,5
2022-01-01,Lucerne / Lake Lucerne,Israel,108
2022-01-01,Lucerne / Lake Lucerne,India,319
2022-01-01,Lucerne / Lake Lucerne,Japan,23
2022-01-01,Lucerne / Lake Lucerne,Other South-East Asian countries,200
2022-01-01,Lucerne / Lake Lucerne,Qatar,404
2022-01-01,Lucerne / Lake Lucerne,Kuwait,49
2022-01-01,Lucerne / Lake Lucerne,Australia,261
2022-01-01,Lucerne / Lake Lucerne,China,163
2022-01-01,Lucerne / Lake Lucerne,Hong Kong,52
2022-01-01,Lucerne / Lake Lucerne,Indonesia,240
2022-01-01,Lucerne / Lake Lucerne,South Korea,164
2022-01-01,Lucerne / Lake Lucerne,Malaysia,169
2022-01-01,Lucerne / Lake Lucerne,Philippines,52
2022-01-01,Lucerne / Lake Lucerne,"New Zealand, Oceania",36
2022-01-01,Lucerne / Lake Lucerne,Singapore,945
2022-01-01,Lucerne / Lake Lucerne,Oman,43
2022-01-01,Lucerne / Lake Lucerne,Taiwan (Chinese Taipei),24
2022-01-01,Lucerne / Lake Lucerne,Thailand,361
2022-01-01,Lucerne / Lake Lucerne,Other West Asian countries,90
2022-01-01,Lucerne / Lake Lucerne,Estonia,209
2022-01-01,Lucerne / Lake Lucerne,Latvia,52
2022-01-01,Lucerne / Lake Lucerne,Lithuania,105
2022-01-01,Lucerne / Lake Lucerne,Saudi Arabia,405
2022-01-01,Lucerne / Lake Lucerne,United Arab Emirates,591
2022-01-01,Lucerne / Lake Lucerne,Croatia,107
2022-01-01,Lucerne / Lake Lucerne,Romania,391
2022-01-01,Lucerne / Lake Lucerne,Russia,872
2022-01-01,Lucerne / Lake Lucerne,Slovakia,69
2022-01-01,Lucerne / Lake Lucerne,Slovenia,59
2022-01-01,Lucerne / Lake Lucerne,Czechia,208
2022-01-01,Lucerne / Lake Lucerne,Ukraine,527
2022-01-01,Lucerne / Lake Lucerne,Serbia,51
2022-01-01,Basel Region,Switzerland,27984
2022-01-01,Basel Region,Germany,7151
2022-01-01,Basel Region,France,2032
2022-01-01,Basel Region,Italy,1356
2022-01-01,Basel Region,Austria,603
2022-01-01,Basel Region,United Kingdom,1082
2022-01-01,Basel Region,Irland,182
2022-01-01,Basel Region,Netherlands,1597
2022-01-01,Basel Region,Belgium,660
2022-01-01,Basel Region,Luxembourg,126
2022-01-01,Basel Region,Denmark,91
2022-01-01,Basel Region,Sweden,91
2022-01-01,Basel Region,Norway,30
2022-01-01,Basel Region,Finland,31
2022-01-01,Basel Region,Spain,672
2022-01-01,Basel Region,Portugal,192
2022-01-01,Basel Region,Greece,126
2022-01-01,Basel Region,Turkey,363
2022-01-01,Basel Region,Other European countries,111
2022-01-01,Basel Region,Liechtenstein,100
2022-01-01,Basel Region,Iceland,3
2022-01-01,Basel Region,Poland,471
2022-01-01,Basel Region,Hungary,159
2022-01-01,Basel Region,Belarus,0
2022-01-01,Basel Region,Bulgaria,179
2022-01-01,Basel Region,Malta,0
2022-01-01,Basel Region,Cyprus,21
2022-01-01,Basel Region,Chile,22
2022-01-01,Basel Region,United States,1291
2022-01-01,Basel Region,Canada,51
2022-01-01,Basel Region,Mexico,82
2022-01-01,Basel Region,Brazil,275
2022-01-01,Basel Region,Argentina,43
2022-01-01,Basel Region,Other South American countries,40
2022-01-01,Basel Region,Other Central American countries,37
2022-01-01,Basel Region,Egypt,12
2022-01-01,Basel Region,Other North African countries,12
2022-01-01,Basel Region,South Africa,28
2022-01-01,Basel Region,Other African countries,151
2022-01-01,Basel Region,Bahrain,0
2022-01-01,Basel Region,Israel,50
2022-01-01,Basel Region,India,233
2022-01-01,Basel Region,Japan,31
2022-01-01,Basel Region,Other South-East Asian countries,34
2022-01-01,Basel Region,Qatar,43
2022-01-01,Basel Region,Kuwait,38
2022-01-01,Basel Region,Australia,26
2022-01-01,Basel Region,China,106
2022-01-01,Basel Region,Hong Kong,27
2022-01-01,Basel Region,Indonesia,20
2022-01-01,Basel Region,South Korea,23
2022-01-01,Basel Region,Malaysia,27
2022-01-01,Basel Region,Philippines,27
2022-01-01,Basel Region,"New Zealand, Oceania",5
2022-01-01,Basel Region,Singapore,97
2022-01-01,Basel Region,Oman,90
2022-01-01,Basel Region,Taiwan (Chinese Taipei),9
2022-01-01,Basel Region,Thailand,65
2022-01-01,Basel Region,Other West Asian countries,34
2022-01-01,Basel Region,Estonia,8
2022-01-01,Basel Region,Latvia,17
2022-01-01,Basel Region,Lithuania,45
2022-01-01,Basel Region,Saudi Arabia,119
2022-01-01,Basel Region,United Arab Emirates,116
2022-01-01,Basel Region,Croatia,48
2022-01-01,Basel Region,Romania,388
2022-01-01,Basel Region,Russia,306
2022-01-01,Basel Region,Slovakia,102
2022-01-01,Basel Region,Slovenia,55
2022-01-01,Basel Region,Czechia,112
2022-01-01,Basel Region,Ukraine,96
2022-01-01,Basel Region,Serbia,30
2022-01-01,Bern Region,Switzerland,201345
2022-01-01,Bern Region,Germany,24560
2022-01-01,Bern Region,France,6329
2022-01-01,Bern Region,Italy,2724
2022-01-01,Bern Region,Austria,1409
2022-01-01,Bern Region,United Kingdom,12911
2022-01-01,Bern Region,Irland,641
2022-01-01,Bern Region,Netherlands,13033
2022-01-01,Bern Region,Belgium,3635
2022-01-01,Bern Region,Luxembourg,1083
2022-01-01,Bern Region,Denmark,602
2022-01-01,Bern Region,Sweden,630
2022-01-01,Bern Region,Norway,401
2022-01-01,Bern Region,Finland,220
2022-01-01,Bern Region,Spain,1388
2022-01-01,Bern Region,Portugal,384
2022-01-01,Bern Region,Greece,508
2022-01-01,Bern Region,Turkey,276
2022-01-01,Bern Region,Other European countries,819
2022-01-01,Bern Region,Liechtenstein,335
2022-01-01,Bern Region,Iceland,8
2022-01-01,Bern Region,Poland,937
2022-01-01,Bern Region,Hungary,213
2022-01-01,Bern Region,Belarus,8
2022-01-01,Bern Region,Bulgaria,124
2022-01-01,Bern Region,Malta,72
2022-01-01,Bern Region,Cyprus,195
2022-01-01,Bern Region,Chile,97
2022-01-01,Bern Region,United States,6180
2022-01-01,Bern Region,Canada,590
2022-01-01,Bern Region,Mexico,357
2022-01-01,Bern Region,Brazil,3149
2022-01-01,Bern Region,Argentina,108
2022-01-01,Bern Region,Other South American countries,371
2022-01-01,Bern Region,Other Central American countries,263
2022-01-01,Bern Region,Egypt,63
2022-01-01,Bern Region,Other North African countries,206
2022-01-01,Bern Region,South Africa,155
2022-01-01,Bern Region,Other African countries,329
2022-01-01,Bern Region,Bahrain,39
2022-01-01,Bern Region,Israel,287
2022-01-01,Bern Region,India,628
2022-01-01,Bern Region,Japan,199
2022-01-01,Bern Region,Other South-East Asian countries,178
2022-01-01,Bern Region,Qatar,273
2022-01-01,Bern Region,Kuwait,149
2022-01-01,Bern Region,Australia,478
2022-01-01,Bern Region,China,398
2022-01-01,Bern Region,Hong Kong,90
2022-01-01,Bern Region,Indonesia,446
2022-01-01,Bern Region,South Korea,419
2022-01-01,Bern Region,Malaysia,465
2022-01-01,Bern Region,Philippines,26
2022-01-01,Bern Region,"New Zealand, Oceania",63
2022-01-01,Bern Region,Singapore,1549
2022-01-01,Bern Region,Oman,40
2022-01-01,Bern Region,Taiwan (Chinese Taipei),26
2022-01-01,Bern Region,Thailand,988
2022-01-01,Bern Region,Other West Asian countries,172
2022-01-01,Bern Region,Estonia,80
2022-01-01,Bern Region,Latvia,70
2022-01-01,Bern Region,Lithuania,95
2022-01-01,Bern Region,Saudi Arabia,1440
2022-01-01,Bern Region,United Arab Emirates,1198
2022-01-01,Bern Region,Croatia,84
2022-01-01,Bern Region,Romania,407
2022-01-01,Bern Region,Russia,1174
2022-01-01,Bern Region,Slovakia,203
2022-01-01,Bern Region,Slovenia,187
2022-01-01,Bern Region,Czechia,387
2022-01-01,Bern Region,Ukraine,456
2022-01-01,Bern Region,Serbia,55
2022-01-01,Jura & Three-Lakes,Switzerland,14402
2022-01-01,Jura & Three-Lakes,Germany,1322
2022-01-01,Jura & Three-Lakes,France,2006
2022-01-01,Jura & Three-Lakes,Italy,1283
2022-01-01,Jura & Three-Lakes,Austria,140
2022-01-01,Jura & Three-Lakes,United Kingdom,66
2022-01-01,Jura & Three-Lakes,Irland,39
2022-01-01,Jura & Three-Lakes,Netherlands,186
2022-01-01,Jura & Three-Lakes,Belgium,162
2022-01-01,Jura & Three-Lakes,Luxembourg,14
2022-01-01,Jura & Three-Lakes,Denmark,19
2022-01-01,Jura & Three-Lakes,Sweden,13
2022-01-01,Jura & Three-Lakes,Norway,25
2022-01-01,Jura & Three-Lakes,Finland,7
2022-01-01,Jura & Three-Lakes,Spain,123
2022-01-01,Jura & Three-Lakes,Portugal,31
2022-01-01,Jura & Three-Lakes,Greece,5
2022-01-01,Jura & Three-Lakes,Turkey,11
2022-01-01,Jura & Three-Lakes,Other European countries,125
2022-01-01,Jura & Three-Lakes,Liechtenstein,12
2022-01-01,Jura & Three-Lakes,Iceland,1
2022-01-01,Jura & Three-Lakes,Poland,100
2022-01-01,Jura & Three-Lakes,Hungary,42
2022-01-01,Jura & Three-Lakes,Belarus,0
2022-01-01,Jura & Three-Lakes,Bulgaria,56
2022-01-01,Jura & Three-Lakes,Malta,0
2022-01-01,Jura & Three-Lakes,Cyprus,4
2022-01-01,Jura & Three-Lakes,Chile,2
2022-01-01,Jura & Three-Lakes,United States,169
2022-01-01,Jura & Three-Lakes,Canada,51
2022-01-01,Jura & Three-Lakes,Mexico,54
2022-01-01,Jura & Three-Lakes,Brazil,39
2022-01-01,Jura & Three-Lakes,Argentina,0
2022-01-01,Jura & Three-Lakes,Other South American countries,6
2022-01-01,Jura & Three-Lakes,Other Central American countries,4
2022-01-01,Jura & Three-Lakes,Egypt,0
2022-01-01,Jura & Three-Lakes,Other North African countries,72
2022-01-01,Jura & Three-Lakes,South Africa,0
2022-01-01,Jura & Three-Lakes,Other African countries,31
2022-01-01,Jura & Three-Lakes,Bahrain,0
2022-01-01,Jura & Three-Lakes,Israel,7
2022-01-01,Jura & Three-Lakes,India,23
2022-01-01,Jura & Three-Lakes,Japan,9
2022-01-01,Jura & Three-Lakes,Other South-East Asian countries,3
2022-01-01,Jura & Three-Lakes,Qatar,0
2022-01-01,Jura & Three-Lakes,Kuwait,0
2022-01-01,Jura & Three-Lakes,Australia,6
2022-01-01,Jura & Three-Lakes,China,4
2022-01-01,Jura & Three-Lakes,Hong Kong,18
2022-01-01,Jura & Three-Lakes,Indonesia,0
2022-01-01,Jura & Three-Lakes,South Korea,33
2022-01-01,Jura & Three-Lakes,Malaysia,0
2022-01-01,Jura & Three-Lakes,Philippines,0
2022-01-01,Jura & Three-Lakes,"New Zealand, Oceania",0
2022-01-01,Jura & Three-Lakes,Singapore,15
2022-01-01,Jura & Three-Lakes,Oman,0
2022-01-01,Jura & Three-Lakes,Taiwan (Chinese Taipei),0
2022-01-01,Jura & Three-Lakes,Thailand,0
2022-01-01,Jura & Three-Lakes,Other West Asian countries,8
2022-01-01,Jura & Three-Lakes,Estonia,1
2022-01-01,Jura & Three-Lakes,Latvia,0
2022-01-01,Jura & Three-Lakes,Lithuania,1
2022-01-01,Jura & Three-Lakes,Saudi Arabia,0
2022-01-01,Jura & Three-Lakes,United Arab Emirates,0
2022-01-01,Jura & Three-Lakes,Croatia,10
2022-01-01,Jura & Three-Lakes,Romania,58
2022-01-01,Jura & Three-Lakes,Russia,39
2022-01-01,Jura & Three-Lakes,Slovakia,36
2022-01-01,Jura & Three-Lakes,Slovenia,2
2022-01-01,Jura & Three-Lakes,Czechia,24
2022-01-01,Jura & Three-Lakes,Ukraine,21
2022-01-01,Jura & Three-Lakes,Serbia,6
2022-01-01,Vaud,Switzerland,81985
2022-01-01,Vaud,Germany,3243
2022-01-01,Vaud,France,10776
2022-01-01,Vaud,Italy,2791
2022-01-01,Vaud,Austria,268
2022-01-01,Vaud,United Kingdom,2940
2022-01-01,Vaud,Irland,115
2022-01-01,Vaud,Netherlands,1166
2022-01-01,Vaud,Belgium,4063
2022-01-01,Vaud,Luxembourg,206
2022-01-01,Vaud,Denmark,158
2022-01-01,Vaud,Sweden,220
2022-01-01,Vaud,Norway,134
2022-01-01,Vaud,Finland,64
2022-01-01,Vaud,Spain,883
2022-01-01,Vaud,Portugal,843
2022-01-01,Vaud,Greece,353
2022-01-01,Vaud,Turkey,187
2022-01-01,Vaud,Other European countries,982
2022-01-01,Vaud,Liechtenstein,33
2022-01-01,Vaud,Iceland,14
2022-01-01,Vaud,Poland,198
2022-01-01,Vaud,Hungary,58
2022-01-01,Vaud,Belarus,22
2022-01-01,Vaud,Bulgaria,39
2022-01-01,Vaud,Malta,14
2022-01-01,Vaud,Cyprus,82
2022-01-01,Vaud,Chile,18
2022-01-01,Vaud,United States,2104
2022-01-01,Vaud,Canada,326
2022-01-01,Vaud,Mexico,225
2022-01-01,Vaud,Brazil,1112
2022-01-01,Vaud,Argentina,91
2022-01-01,Vaud,Other South American countries,134
2022-01-01,Vaud,Other Central American countries,90
2022-01-01,Vaud,Egypt,98
2022-01-01,Vaud,Other North African countries,202
2022-01-01,Vaud,South Africa,624
2022-01-01,Vaud,Other African countries,359
2022-01-01,Vaud,Bahrain,21
2022-01-01,Vaud,Israel,55
2022-01-01,Vaud,India,304
2022-01-01,Vaud,Japan,71
2022-01-01,Vaud,Other South-East Asian countries,148
2022-01-01,Vaud,Qatar,302
2022-01-01,Vaud,Kuwait,114
2022-01-01,Vaud,Australia,236
2022-01-01,Vaud,China,449
2022-01-01,Vaud,Hong Kong,12
2022-01-01,Vaud,Indonesia,88
2022-01-01,Vaud,South Korea,94
2022-01-01,Vaud,Malaysia,64
2022-01-01,Vaud,Philippines,31
2022-01-01,Vaud,"New Zealand, Oceania",10
2022-01-01,Vaud,Singapore,366
2022-01-01,Vaud,Oman,10
2022-01-01,Vaud,Taiwan (Chinese Taipei),6
2022-01-01,Vaud,Thailand,223
2022-01-01,Vaud,Other West Asian countries,312
2022-01-01,Vaud,Estonia,35
2022-01-01,Vaud,Latvia,61
2022-01-01,Vaud,Lithuania,28
2022-01-01,Vaud,Saudi Arabia,665
2022-01-01,Vaud,United Arab Emirates,509
2022-01-01,Vaud,Croatia,69
2022-01-01,Vaud,Romania,323
2022-01-01,Vaud,Russia,913
2022-01-01,Vaud,Slovakia,90
2022-01-01,Vaud,Slovenia,60
2022-01-01,Vaud,Czechia,136
2022-01-01,Vaud,Ukraine,342
2022-01-01,Vaud,Serbia,99
2022-01-01,Geneva,Switzerland,38432
2022-01-01,Geneva,Germany,3062
2022-01-01,Geneva,France,15052
2022-01-01,Geneva,Italy,3323
2022-01-01,Geneva,Austria,363
2022-01-01,Geneva,United Kingdom,7232
2022-01-01,Geneva,Irland,1010
2022-01-01,Geneva,Netherlands,1454
2022-01-01,Geneva,Belgium,1937
2022-01-01,Geneva,Luxembourg,192
2022-01-01,Geneva,Denmark,454
2022-01-01,Geneva,Sweden,434
2022-01-01,Geneva,Norway,227
2022-01-01,Geneva,Finland,158
2022-01-01,Geneva,Spain,3175
2022-01-01,Geneva,Portugal,1688
2022-01-01,Geneva,Greece,765
2022-01-01,Geneva,Turkey,759
2022-01-01,Geneva,Other European countries,774
2022-01-01,Geneva,Liechtenstein,93
2022-01-01,Geneva,Iceland,22
2022-01-01,Geneva,Poland,575
2022-01-01,Geneva,Hungary,152
2022-01-01,Geneva,Belarus,20
2022-01-01,Geneva,Bulgaria,155
2022-01-01,Geneva,Malta,232
2022-01-01,Geneva,Cyprus,175
2022-01-01,Geneva,Chile,61
2022-01-01,Geneva,United States,8508
2022-01-01,Geneva,Canada,956
2022-01-01,Geneva,Mexico,565
2022-01-01,Geneva,Brazil,6562
2022-01-01,Geneva,Argentina,384
